384046247	1736746684	Died	spectral blade	0	0	0	2	811
384046723	1736748039	Died	spectral blade	303	303	0	3	1045
384125984	1736825988	Quit	-	0	0	0	1	0
384448019	1737148243	Died	spectral blade	379	379	0	3	1243
384448244	1737148345	Died	Killed by a cloud of caustic gas	0	0	0	1	457
384448346	1737148530	Died	eel	103	103	0	2	700
384448620	1737150054	Died	ogre	1871	1871	0	7	3983
384460337	1737160666	Died	eel	169	169	0	3	1418
384460696	1737162108	Died	vampire bat	1400	1400	0	8	4498
384462110	1737162337	Died	eel	82	82	0	3	1110
384462337	1737163117	Died	spectral blade	1119	1119	0	6	3688
384304962	1737249524	Died	dar blademaster	5063	5063	0	13	7777
384463117	1737251484	Died	ogre	7140	7140	0	14	9815
384551736	1737251740	Quit	-	0	0	0	1	10
384633285	1737333531	Died	jackal	426	426	0	4	1654
384633531	1737339801	Died	jackal	290	290	0	3	1180
384639846	1737340049	Died	Burned to death	222	222	0	4	1375
142857	1737345584	Died	ogre	2226	2226	0	8	5233
1048576	1737345883	Died	toad	343	343	0	3	1408
384718593	1737418596	Quit	-	0	0	0	1	0
384718616	1737418653	Quit	-	0	0	0	1	417
384718657	1737418666	Quit	-	0	0	0	1	0
384718822	1737420284	Died	Killed by a cloud of caustic gas	1660	1660	0	7	3878
384720294	1737420301	Quit	-	0	0	0	1	119
384720301	1737420313	Quit	-	96	96	0	1	45
384720430	1737421716	Died	ogre	2149	2149	0	8	4412
384733254	1737433485	Died	pink jelly	278	278	0	4	1467
384800485	1737502012	Died	centipede	1998	1998	0	9	5218
384802503	1737502738	Died	Killed by a cloud of caustic gas	139	139	0	2	1306
384823904	1737524413	Died	eel	870	870	0	5	2555
384824421	1737524560	Died	eel	190	190	0	2	1098
384824560	1737524630	Quit	-	296	296	0	2	871
384897010	1737597036	Quit	-	206	206	0	1	331
384897036	1737597077	Quit	-	169	169	0	1	426
385037990	1737738413	Died	spectral blade	612	612	0	5	2291
385038414	1737739215	Died	vampire bat	1316	1316	0	6	4151
385039217	1737739421	Died	pink jelly	80	80	0	3	1393
385039422	1737739606	Died	rat	512	512	0	3	1286
385039607	1737741478	Died	eel	2016	2016	0	8	5995
385052396	1737752400	Quit	-	0	0	0	1	60
384869156	1737777182	Died	Starved to death	6236	6236	0	13	9633
384721752	1737777402	Quit	-	101	101	0	3	1118
384699304	1737777407	Quit	-	0	0	0	1	7
384653728	1737779931	Died	acidic jelly	7656	7656	0	15	10286
385119217	1737825020	Quit	-	1455	1455	0	6	3641
385125043	1737825273	Died	Killed by a fall	293	293	0	4	1381
385236436	1737950108	Died	kraken	7042	7042	0	15	11208
385301574	1738001934	Died	jackal	934	934	0	5	2045
385316024	1738016025	Quit	-	0	0	0	1	0
385416070	1738117202	Died	pink jelly	535	535	0	4	1370
384802746	1738123307	Died	wraith	2639	2639	0	10	5173
385423328	1738123431	Died	pink jelly	614	614	0	4	1237
385423432	1738123591	Died	pink jelly	457	457	0	4	1528
385656978	1738374765	Died	wraith	3580	3580	0	10	6582
385726654	1738426996	Died	goblin	718	718	0	5	2389
385729925	1738433365	Died	wraith	3674	3674	0	10	4796
385733391	1738434215	Died	jackal	462	462	0	6	3017
385752500	1738452792	Died	jackal	302	302	0	4	1271
385752798	1738452803	Quit	-	0	0	0	1	78
385756783	1738457123	Quit	-	182	182	0	4	2151
385988358	1738688448	Quit	-	0	0	0	3	896
385988701	1738688703	Quit	-	0	0	0	1	0
385990258	1738690330	Quit	-	144	144	0	2	204
385990657	1738690699	Quit	-	0	0	0	1	17
385990899	1738690932	Quit	-	167	167	0	1	90
386001180	1738701373	Died	goblin	98	98	0	3	1060
386001374	1738701472	Died	jackal	141	141	0	3	1001
386019725	1738719727	Quit	-	0	0	0	1	0
386332737	1739033879	Died	spectral blade	1666	1666	0	8	3665
386528643	1739228644	Quit	-	0	0	0	1	0
386606397	1739307780	Died	Burned to death	3517	3517	0	9	5192
387205851	1739906237	Died	vampire bat	417	417	0	6	2495
389011765	1741712720	Died	goblin	1129	1129	0	5	2749
